stack,split_type,split_val,n,ev_pct,std_pct,min_pct,q1_pct,median_pct,q3_pct,max_pct,iqr_pct,skew,kurtosis,pct_win,avg_win_pct,avg_loss_pct,payoff_ratio,expectancy_pct,profit_factor,cvar5_pct,max_consec_loss,max_drawdown_pct,ev_over_std,ev_sigma,cvar5_sigma,median_sigma,ev_cap,median_cap
B0,overall,overall,990,0.00383,0.1481,-0.35753,-0.08383,-0.03159,0.05448,1.02522,0.13831,2.35,9.199,0.3798,0.13625,-0.07752,1.758,0.00367,1.0799,-0.19536,10,3.17448,0.0258,0.56215,-11.4668,-1.27636,-7.12111,-0.33333
B0,overall,2020,159,0.00505,0.1253,-0.215,-0.07264,-0.02262,0.05902,0.71505,0.13167,1.99,6.889,0.3962,0.116,-0.06848,1.694,0.00462,1.1234,-0.16575,8,1.02057,0.0403,1.61086,-8.18997,-0.79972,-2.65061,-0.14493
B0,overall,2021,154,0.0165,0.14208,-0.17633,-0.0667,-0.02163,0.05587,0.84906,0.12256,2.606,9.965,0.4156,0.13024,-0.06511,2.0,0.01607,1.4384,-0.13961,9,0.99369,0.1161,0.90325,-8.1057,-0.81045,-2.50004,-0.23443
B0,overall,2022,127,0.00764,0.13653,-0.31333,-0.08181,-0.01813,0.06149,0.69768,0.14331,2.06,7.949,0.4488,0.1103,-0.07597,1.452,0.00764,1.1824,-0.18783,6,0.93772,0.0559,0.56766,-8.67952,-0.87782,-1.52904,-0.21154
B0,overall,2023,185,-0.00754,0.13762,-0.35753,-0.08794,-0.03166,0.05353,0.87596,0.14146,2.059,9.328,0.3784,0.11833,-0.08415,1.406,-0.00754,0.8559,-0.21853,11,2.14478,-0.0548,-0.03865,-11.17575,-1.22156,-12.23732,-0.3587
B0,overall,2024,365,0.00239,0.16771,-0.34719,-0.09344,-0.04386,0.04847,1.02522,0.14191,2.424,8.558,0.3342,0.17225,-0.0829,2.078,0.00239,1.0432,-0.20539,9,2.60698,0.0142,0.264,-14.61944,-1.72885,-10.43267,-0.4817
B0,overall,post_market,40,-0.03216,0.08941,-0.34719,-0.05693,-0.02342,0.00289,0.24365,0.05983,-0.475,4.214,0.275,0.05475,-0.06512,0.841,-0.03216,0.3189,-0.26625,8,1.63097,-0.3596,-2.80036,-38.619,-0.70615,-3.61752,-0.46536
B0,overall,pre_market,144,-0.0085,0.15101,-0.31333,-0.09502,-0.053,0.04726,0.78343,0.14228,1.918,5.693,0.3264,0.15337,-0.08693,1.764,-0.0085,0.8548,-0.22021,11,2.57423,-0.0563,-0.69047,-11.73057,-1.80299,-3.24438,-0.57436
B0,overall,regular_hours,806,0.00782,0.14967,-0.35753,-0.08169,-0.02823,0.06009,1.02522,0.14179,2.431,9.569,0.3945,0.13653,-0.07637,1.788,0.00763,1.1697,-0.18482,11,2.55309,0.0522,0.95282,-9.94629,-1.27235,-7.98537,-0.28155
B0,overall,event_day,990,0.00383,0.1481,-0.35753,-0.08383,-0.03159,0.05448,1.02522,0.13831,2.35,9.199,0.3798,0.13625,-0.07752,1.758,0.00367,1.0799,-0.19536,10,3.17448,0.0258,0.56215,-11.4668,-1.27636,-7.12111,-0.33333
B0+R1+R3_vwap,overall,overall,990,0.01033,0.07134,-0.22772,-0.05204,0.03059,0.05589,0.3796,0.10793,0.3,1.043,0.5758,0.06225,-0.06013,1.035,0.01033,1.4048,-0.12058,6,1.06328,0.1448,0.67362,-2.5,1.61567,-7.12267,0.20377
B0+R1+R3_vwap,overall,2020,159,0.01,0.06692,-0.1595,-0.05037,0.02722,0.05478,0.21592,0.10515,-0.024,-0.23,0.6038,0.05703,-0.06167,0.925,0.01,1.4092,-0.11642,4,0.59507,0.1494,0.62465,-2.5,1.752,-2.51526,0.22339
B0+R1+R3_vwap,overall,2021,154,0.01568,0.06439,-0.15497,-0.0407,0.0341,0.05825,0.19493,0.09895,-0.09,-0.385,0.6169,0.05925,-0.05449,1.088,0.01568,1.7511,-0.11024,3,0.38515,0.2435,0.68145,-2.5,1.67595,-1.71539,0.23781
B0+R1+R3_vwap,overall,2022,127,0.0131,0.06803,-0.22772,-0.04084,0.03364,0.05611,0.19866,0.09696,-0.261,0.367,0.6063,0.05973,-0.0587,1.018,0.0131,1.5671,-0.12527,9,0.53724,0.1926,0.62981,-2.5,1.67561,-24.42067,0.24787
B0+R1+R3_vwap,overall,2023,185,0.01248,0.07407,-0.15863,-0.05659,0.034,0.05718,0.30001,0.11377,0.404,0.979,0.6,0.06343,-0.06394,0.992,0.01248,1.4881,-0.11488,3,0.8038,0.1685,0.71297,-2.5,1.63562,-8.90546,0.24777
B0+R1+R3_vwap,overall,2024,365,0.00616,0.07572,-0.19183,-0.05529,0.02047,0.05371,0.3796,0.109,0.62,1.876,0.5233,0.06669,-0.06029,1.106,0.00616,1.2142,-0.12429,7,0.83661,0.0813,0.68695,-2.5,1.53841,-4.6347,0.14389
B0+R1+R3_vwap,overall,post_market,40,0.00763,0.06691,-0.11569,-0.03547,-0.01357,0.06268,0.16477,0.09815,0.429,-0.674,0.4,0.07781,-0.03915,1.987,0.00763,1.325,-0.10662,8,0.48733,0.1141,0.06962,-2.5,-0.35627,-1.59301,-0.24038
B0+R1+R3_vwap,overall,pre_market,144,0.00629,0.07922,-0.19133,-0.05626,0.0302,0.05815,0.20911,0.11441,0.053,-0.496,0.5278,0.07091,-0.06592,1.076,0.00629,1.2022,-0.14644,6,0.83278,0.0795,0.23437,-2.5,1.60629,-1.73703,0.14562
B0+R1+R3_vwap,overall,regular_hours,806,0.01118,0.07013,-0.22772,-0.0505,0.03179,0.05499,0.3796,0.10548,0.364,1.493,0.5931,0.06035,-0.06047,0.998,0.01118,1.4544,-0.11514,9,1.03834,0.1595,0.78207,-2.5,1.63848,-8.35514,0.21984
B0+R1+R3_vwap,overall,event_day,990,0.01033,0.07134,-0.22772,-0.05204,0.03059,0.05589,0.3796,0.10793,0.3,1.043,0.5758,0.06225,-0.06013,1.035,0.01033,1.4048,-0.12058,6,1.06328,0.1448,0.67362,-2.5,1.61567,-7.12267,0.20377
B0+R1+R3_prim,overall,overall,990,0.00751,0.06757,-0.23619,-0.04761,0.02325,0.04975,0.37893,0.09736,0.511,1.867,0.5515,0.05848,-0.05517,1.06,0.00751,1.3036,-0.11254,8,0.97474,0.1111,0.53899,-2.5,1.61174,-6.18504,0.15807
B0+R1+R3_prim,overall,2020,159,0.00716,0.05933,-0.23619,-0.03808,0.02377,0.04643,0.20635,0.08451,-0.426,1.541,0.6038,0.04695,-0.05347,0.878,0.00716,1.3381,-0.12613,5,0.70076,0.1207,0.58216,-2.5,1.62486,-2.06115,0.16032
B0+R1+R3_prim,overall,2021,154,0.01528,0.05802,-0.10625,-0.03546,0.03107,0.05121,0.19951,0.08666,0.265,-0.148,0.6104,0.05487,-0.04676,1.174,0.01528,1.8387,-0.08194,4,0.35323,0.2633,0.77044,-2.5,1.74377,-1.5688,0.18505
B0+R1+R3_prim,overall,2022,127,0.00467,0.05835,-0.13462,-0.04717,0.02371,0.04652,0.17228,0.09369,0.049,-0.424,0.5591,0.05055,-0.05351,0.945,0.00467,1.1978,-0.10236,9,0.49158,0.08,0.39247,-2.5,1.61148,-17.31672,0.22389
B0+R1+R3_prim,overall,2023,185,0.01214,0.07108,-0.21755,-0.04717,0.03168,0.05152,0.30018,0.0987,0.597,2.021,0.5676,0.06288,-0.05446,1.155,0.01214,1.5153,-0.10955,5,0.47198,0.1707,0.70781,-2.5,1.57807,-9.10522,0.20344
B0+R1+R3_prim,overall,2024,365,0.00303,0.07531,-0.22371,-0.05477,-0.01271,0.0528,0.37893,0.10756,0.828,2.144,0.4932,0.06706,-0.05928,1.131,0.00303,1.1008,-0.11757,10,1.23776,0.0402,0.38794,-2.5,-0.70381,-4.69467,0.05223
B0+R1+R3_prim,overall,post_market,40,0.00389,0.06068,-0.14539,-0.03434,0.00171,0.05098,0.11128,0.08532,-0.311,-0.45,0.5,0.05568,-0.0479,1.162,0.00389,1.1625,-0.13612,4,0.35692,0.0641,0.33247,-2.5,-0.01752,-2.14591,0.16645
B0+R1+R3_prim,overall,pre_market,144,0.00538,0.08184,-0.23619,-0.05087,0.01546,0.05209,0.20635,0.10297,-0.053,0.277,0.5139,0.07074,-0.06372,1.11,0.00538,1.1736,-0.16578,7,0.83655,0.0657,0.25048,-2.5,1.52039,-1.79538,0.09765
B0+R1+R3_prim,overall,regular_hours,806,0.00807,0.06511,-0.165,-0.04738,0.02367,0.04932,0.37893,0.0967,0.741,2.367,0.5608,0.05659,-0.05388,1.05,0.00807,1.341,-0.09824,6,0.76982,0.1239,0.60078,-2.5,1.62332,-7.16712,0.16765
B0+R1+R3_prim,overall,event_day,990,0.00751,0.06757,-0.23619,-0.04761,0.02325,0.04975,0.37893,0.09736,0.511,1.867,0.5515,0.05848,-0.05517,1.06,0.00751,1.3036,-0.11254,8,0.97474,0.1111,0.53899,-2.5,1.61174,-6.18504,0.15807
